
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
504652 201861 176628 3148.41 369.266 321470 
CV Recruit
4.00652 
Alternative 1 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2025  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2026  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2027  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2028  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2029  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2030  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2031  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2032  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2033  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2034  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2035  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 
2036  0 0.259937 0.3074 0.148252 0.148252 0.148252 0.148252 1.83187e-15 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 2.9656e+06 2.16947e+06 2.09604e+06 1.48226e+06 1.48226e+06 1.48226e+06 1.48226e+06 3.0268e-09 
2024 2.9656e+06 2.16947e+06 2.09604e+06 1.1781e+06 1.24635e+06 1.69237e+06 3.58452e+06 1.9437e+06 
2025 2.9656e+06 2.16947e+06 2.09604e+06 844241 1.0195e+06 1.60005e+06 4.00515e+06 2.08513e+06 
2026 2.9656e+06 2.16947e+06 2.09604e+06 634042 948664 1.83072e+06 5.29711e+06 2.89956e+06 
2027 2.9656e+06 2.16947e+06 2.09604e+06 508982 972644 1.95176e+06 6.88678e+06 2.84523e+06 
2028 2.9656e+06 2.16947e+06 2.09604e+06 417986 1.0036e+06 2.17988e+06 7.69718e+06 3.51533e+06 
2029 2.9656e+06 2.16947e+06 2.09604e+06 368629 1.03857e+06 2.08731e+06 7.4541e+06 3.01448e+06 
2030 2.9656e+06 2.16947e+06 2.09604e+06 333982 1.11867e+06 2.23804e+06 7.9941e+06 3.27736e+06 
2031 2.9656e+06 2.16947e+06 2.09604e+06 326556 1.16509e+06 2.29412e+06 7.42081e+06 3.27729e+06 
2032 2.9656e+06 2.16947e+06 2.09604e+06 321135 1.22491e+06 2.27778e+06 7.5139e+06 3.001e+06 
2033 2.9656e+06 2.16947e+06 2.09604e+06 317492 1.22015e+06 2.25479e+06 7.492e+06 3.08142e+06 
2034 2.9656e+06 2.16947e+06 2.09604e+06 300156 1.19022e+06 2.31948e+06 8.19596e+06 3.61215e+06 
2035 2.9656e+06 2.16947e+06 2.09604e+06 293337 1.24714e+06 2.34926e+06 8.49121e+06 3.56143e+06 
2036 2.9656e+06 2.16947e+06 2.09604e+06 297507 1.19604e+06 2.35835e+06 8.51891e+06 3.58557e+06 
Alternative 4 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 225099 245148 145215 145215 145215 145215 1.74623e-09 
2024  0 225099 245148 69059.6 69079.6 69210.6 69766.1 570.69 
2025  0 225099 245148 53863.7 54108 55242.7 59936.3 4864.81 
2026  0 225099 245148 38195.9 40118.2 47958 80845.6 33456.5 
2027  0 225099 245148 26752.2 33567.6 55088.7 140305 83720.6 
2028  0 225099 245148 19487.8 32157.3 62238 200949 97753.7 
2029  0 225099 245148 15630.9 34698.1 72656.2 221198 119846 
2030  0 225099 245148 0 33856.1 76266.6 291638 124207 
2031  0 225099 245148 0 39196.2 81559.9 303616 141790 
2032  0 225099 245148 0 43517.8 81648.2 291841 127483 
2033  0 225099 245148 0 44459.3 84484 308892 129844 
2034  0 225099 245148 0 46355.1 85953.9 308354 128791 
2035  0 225099 245148 0 45371.1 84396.6 306171 124266 
2036  0 225099 245148 0 44543.5 84102 306284 126158 

Spawning_Biomass goa_wp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 504652 201861 176628 293675 293675 293675 293675 2.32831e-10 
2024 504652 201861 176628 282702 282702 282703 282705 2.47593 
2025 504652 201861 176628 271372 271514 272442 276374 4040.15 
2026 504652 201861 176628 243530 244791 250203 272386 22734 
2027 504652 201861 176628 190110 197370 224148 330611 111382 
2028 504652 201861 176628 150621 170947 229410 476572 215815 
2029 504652 201861 176628 115180 157053 250778 704953 308949 
2030 504652 201861 176628 95189.5 158623 278907 781156 365444 
2031 504652 201861 176628 82772.4 163498 309291 980465 417966 
2032 504652 201861 176628 74496.3 172653 324777 1.08971e+06 443924 
2033 504652 201861 176628 70531.2 184276 337945 1.14638e+06 457860 
2034 504652 201861 176628 67601.5 193432 345692 1.10748e+06 441714 
2035 504652 201861 176628 68993.5 202842 355200 1.11243e+06 444677 
2036 504652 201861 176628 67441.7 207573 357105 1.158e+06 436253 

Fishing_mortalitygoa_wp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.259937 0.3074 0.167347 0.167347 0.167347 0.167347 1.38778e-15 
2024  0 0.259937 0.3074 0.0717286 0.0717286 0.0717286 0.0717286 5.55112e-16 
2025  0 0.259937 0.3074 0.0717286 0.0717286 0.0717286 0.0717286 5.55112e-16 
2026  0 0.259937 0.3074 0.0717286 0.0717286 0.0717286 0.0717286 5.55112e-16 
2027  0 0.259937 0.3074 0.0717286 0.0717286 0.0717286 0.0717286 5.55112e-16 
2028  0 0.259937 0.3074 0.0717286 0.0717286 0.0717286 0.0717286 5.55112e-16 
2029  0 0.259937 0.3074 0.0717286 0.0717286 0.0717286 0.0717286 5.55112e-16 
2030  0 0.259937 0.3074 0 0.0717286 0.0631212 0.0717286 0.023309 
2031  0 0.259937 0.3074 0 0.0717286 0.0575981 0.0717286 0.0285288 
2032  0 0.259937 0.3074 0 0.0717286 0.0555897 0.0717286 0.0299526 
2033  0 0.259937 0.3074 0 0.0717286 0.0555179 0.0717286 0.0299997 
2034  0 0.259937 0.3074 0 0.0717286 0.0556614 0.0717286 0.0299052 
2035  0 0.259937 0.3074 0 0.0717286 0.0562352 0.0717286 0.0295173 
2036  0 0.259937 0.3074 0 0.0717286 0.0565939 0.0717286 0.0292666 

Total_Biomassgoa_wp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 2.9656e+06 2.16947e+06 2.09604e+06 1.48226e+06 1.48226e+06 1.48226e+06 1.48226e+06 3.0268e-09 
2024 2.9656e+06 2.16947e+06 2.09604e+06 1.1781e+06 1.24635e+06 1.69237e+06 3.58452e+06 1.9437e+06 
2025 2.9656e+06 2.16947e+06 2.09604e+06 896916 1.07218e+06 1.65284e+06 4.0587e+06 2.08543e+06 
2026 2.9656e+06 2.16947e+06 2.09604e+06 712854 1.02788e+06 1.91076e+06 5.39252e+06 2.90176e+06 
2027 2.9656e+06 2.16947e+06 2.09604e+06 595193 1.06281e+06 2.04733e+06 6.98519e+06 2.86126e+06 
2028 2.9656e+06 2.16947e+06 2.09604e+06 501479 1.12373e+06 2.29012e+06 7.77887e+06 3.54494e+06 
2029 2.9656e+06 2.16947e+06 2.09604e+06 439128 1.13755e+06 2.2124e+06 7.7342e+06 3.07163e+06 
2030 2.9656e+06 2.16947e+06 2.09604e+06 403057 1.24355e+06 2.38191e+06 8.43901e+06 3.34829e+06 
2031 2.9656e+06 2.16947e+06 2.09604e+06 392223 1.28694e+06 2.45887e+06 8.01089e+06 3.37902e+06 
2032 2.9656e+06 2.16947e+06 2.09604e+06 382222 1.38564e+06 2.46149e+06 8.01762e+06 3.11116e+06 
2033 2.9656e+06 2.16947e+06 2.09604e+06 389326 1.35773e+06 2.45356e+06 8.16354e+06 3.1934e+06 
2034 2.9656e+06 2.16947e+06 2.09604e+06 370147 1.38504e+06 2.53057e+06 8.52231e+06 3.70412e+06 
2035 2.9656e+06 2.16947e+06 2.09604e+06 370387 1.41e+06 2.56969e+06 9.23232e+06 3.65305e+06 
2036 2.9656e+06 2.16947e+06 2.09604e+06 379826 1.38717e+06 2.58428e+06 9.13662e+06 3.68125e+06 
Alternative 5 Alternative  Stock: goa_wp
Catch goa_wp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 225099 245148 145215 145215 145215 145215 1.74623e-09 
2024  0 225099 245148 0 0 0 0 0 
2025  0 225099 245148 0 0 0 0 0 
2026  0 225099 245148 0 0 0 0 0 
